program,sub_program,district_name,campus_id,campus,year,demog,subject,proficiency,rate
Teams,Teams 2,DALLAS ISD,57905156,NATHANIEL HAWTHORNE EL,2015,all,reading,approaches,69
Teams,Teams 1,DALLAS ISD,57905163,ALBERT SIDNEY JOHNSTON EL,2015,all,reading,meets,25
Teams,Teams 1,DALLAS ISD,57905163,ALBERT SIDNEY JOHNSTON EL,2015,all,reading,approaches,63
Teams,Teams 1,DALLAS ISD,57905166,EDWIN J KIEST EL,2015,all,reading,meets,27
Teams,Teams 1,DALLAS ISD,57905166,EDWIN J KIEST EL,2015,all,reading,approaches,73
ALP,C4,DALLAS ISD,57905171,LAKEWOOD EL,2015,all,reading,meets,82
ALP,C4,DALLAS ISD,57905171,LAKEWOOD EL,2015,all,reading,approaches,98
Teams,Teams 1,DALLAS ISD,57905175,UMPHREY LEE EL,2015,all,reading,meets,13
Teams,Teams 1,DALLAS ISD,57905175,UMPHREY LEE EL,2015,all,reading,approaches,45
Teams,Teams 2,DALLAS ISD,57905181,MAPLE LAWN EL,2015,all,reading,meets,31
Teams,Teams 2,DALLAS ISD,57905181,MAPLE LAWN EL,2015,all,reading,approaches,72
Teams,Teams 1,DALLAS ISD,57905184,BEN MILAM EL,2015,all,reading,meets,48
Teams,Teams 1,DALLAS ISD,57905184,BEN MILAM EL,2015,all,reading,approaches,87
Alumni Network,NULL,DALLAS ISD,57905195,PRESTON HOLLOW EL,2015,all,reading,meets,37
Alumni Network,NULL,DALLAS ISD,57905195,PRESTON HOLLOW EL,2015,all,reading,approaches,79
Teams,Teams 1,DALLAS ISD,57905197,JOHN H REAGAN EL,2015,all,reading,meets,26
Teams,Teams 1,DALLAS ISD,57905197,JOHN H REAGAN EL,2015,all,reading,approaches,65
Alumni Network,NULL,DALLAS ISD,57905202,ORAN M ROBERTS EL,2015,all,reading,meets,22
Alumni Network,NULL,DALLAS ISD,57905202,ORAN M ROBERTS EL,2015,all,reading,approaches,57
Alumni Network,NULL,DALLAS ISD,57905203,DAN D ROGERS EL,2015,all,reading,meets,41
Alumni Network,NULL,DALLAS ISD,57905203,DAN D ROGERS EL,2015,all,reading,approaches,83
Teams,Teams 1,DALLAS ISD,57905205,CLINTON P RUSSELL EL,2015,all,reading,meets,31
Teams,Teams 1,DALLAS ISD,57905205,CLINTON P RUSSELL EL,2015,all,reading,approaches,57
Teams,Teams 2,DALLAS ISD,57905207,SAN JACINTO EL,2015,all,reading,meets,22
Teams,Teams 2,DALLAS ISD,57905207,SAN JACINTO EL,2015,all,reading,approaches,60
Alumni Network,NULL,DALLAS ISD,57905209,ASCHER SILBERSTEIN EL,2015,all,reading,meets,40
Alumni Network,NULL,DALLAS ISD,57905209,ASCHER SILBERSTEIN EL,2015,all,reading,approaches,79
Alumni Network,NULL,DALLAS ISD,57905210,LESLIE A STEMMONS EL,2015,all,reading,meets,49
Alumni Network,NULL,DALLAS ISD,57905210,LESLIE A STEMMONS EL,2015,all,reading,approaches,81
Alumni Network,NULL,DALLAS ISD,57905220,MARK TWAIN LEADERSHIP VANGUARD,2015,all,reading,meets,17
Alumni Network,NULL,DALLAS ISD,57905220,MARK TWAIN LEADERSHIP VANGUARD,2015,all,reading,approaches,53
Alumni Network,NULL,DALLAS ISD,57905225,DANIEL WEBSTER EL,2015,all,reading,meets,20
Alumni Network,NULL,DALLAS ISD,57905225,DANIEL WEBSTER EL,2015,all,reading,approaches,54
Alumni Network,NULL,DALLAS ISD,57905229,WINNETKA EL,2015,all,reading,meets,41
Alumni Network,NULL,DALLAS ISD,57905229,WINNETKA EL,2015,all,reading,approaches,78
Teams,Teams 1,DALLAS ISD,57905235,BIRDIE ALEXANDER EL,2015,all,reading,meets,22
Teams,Teams 1,DALLAS ISD,57905235,BIRDIE ALEXANDER EL,2015,all,reading,approaches,67
Teams,Teams 2,DALLAS ISD,57905236,NANCY J COCHRAN EL,2015,all,reading,meets,19
Teams,Teams 2,DALLAS ISD,57905236,NANCY J COCHRAN EL,2015,all,reading,approaches,55
Teams,Teams 2,DALLAS ISD,57905250,WHITNEY M YOUNG JR EL,2015,all,reading,meets,23
Teams,Teams 2,DALLAS ISD,57905250,WHITNEY M YOUNG JR EL,2015,all,reading,approaches,65
Alumni Network,NULL,DALLAS ISD,57905269,ONESIMO HERNANDEZ EL,2015,all,reading,meets,17
Alumni Network,NULL,DALLAS ISD,57905269,ONESIMO HERNANDEZ EL,2015,all,reading,approaches,57
